pickup_hour,day,distance_km,passenger_count,payment_type,fare,tip
18,Mon,4.68,4,cash,14.04,0.84
11,Thu,2.07,1,card,6.81,0.79
19,Thu,3.75,1,cash,12.01,0.97
18,Tue,4.1,1,card,12.14,2.77
6,Mon,8.25,1,card,21.41,4.4
23,Mon,2.69,2,card,9.2,1.41
18,Mon,3.69,1,card,15.16,2.87
18,Thu,1.33,2,card,7.12,0.95
7,Mon,5.78,3,card,16.07,2.01
11,Sun,1.98,2,cash,10.73,0.84
9,Tue,2.21,1,card,7.56,1.16
21,Fri,2.97,2,cash,10.43,0.06
17,Fri,1.27,3,cash,8.72,0.83
19,Thu,3.41,3,card,12.89,2.57
11,Sun,5.11,1,card,16.94,3.64
8,Mon,3.53,1,cash,10.34,0.8
15,Tue,1.25,1,card,4.11,0.44
5,Tue,2.81,3,card,8.21,1.36
19,Mon,4.52,2,card,14.2,3.07
17,Wed,1.07,1,cash,6.01,0.62
18,Wed,1.66,1,card,9.18,1.88
9,Sat,4.87,1,card,18.15,2.91
23,Wed,3.49,2,card,9.59,1.3
20,Sun,3.77,1,card,14.63,2.63
18,Sat,8.35,1,card,25.13,3.28
7,Sun,3.89,3,cash,14.19,0.27
12,Mon,4.31,2,cash,11.65,0.26
3,Sun,13.34,1,card,36.07,5.18
7,Fri,2.67,1,card,8.06,1.42
17,Sun,1.94,4,card,13.48,2.33
18,Wed,3.8,2,card,13.07,2.48
22,Sun,3.82,1,card,13.62,2.26
9,Fri,2.25,1,card,6.45,1.53
9,Mon,1.7,1,card,7.04,1.59
12,Wed,10.7,1,card,27.61,6.4
7,Mon,3.6,2,card,11.25,2.19
7,Sun,2.01,1,card,13.11,2.56
12,Wed,4.97,1,card,15.65,3.0
8,Tue,2.83,2,cash,8.86,0.82
17,Thu,2.61,4,cash,10.36,0.82
11,Wed,4.09,2,cash,12.56,0.88
19,Mon,1.48,1,cash,7.25,0.05
18,Sat,3.65,1,card,17.43,1.76
9,Sat,8.6,1,cash,25.35,0.25
19,Sat,3.88,1,card,16.84,1.8
19,Fri,2.44,1,card,11.19,2.0
9,Wed,2.27,1,card,10.06,1.93
8,Thu,2.4,1,card,8.49,1.1
17,Thu,2.61,3,card,10.61,2.49
7,Tue,2.44,4,card,10.18,1.31
7,Mon,4.97,1,cash,15.1,0.66
0,Tue,1.16,1,cash,5.17,0.84
18,Thu,4.83,1,card,15.63,2.13
17,Tue,2.44,1,card,10.6,1.3
18,Mon,3.7,1,cash,13.57,0.15
18,Sat,1.62,1,card,9.94,1.59
12,Wed,6.24,2,card,14.88,2.04
15,Fri,5.96,1,card,15.05,3.76
7,Thu,5.09,3,card,13.04,1.75
6,Sat,1.31,1,card,8.11,1.82
17,Sat,4.74,1,cash,19.19,0.37
12,Wed,3.75,1,cash,11.05,0.65
15,Sat,1.24,1,card,8.96,1.2
18,Wed,2.96,1,card,10.04,1.64
17,Sat,3.67,4,cash,15.52,0.46
15,Wed,4.08,1,card,12.68,1.5
15,Mon,3.31,1,card,11.0,2.45
9,Sat,3.53,1,card,12.9,1.82
2,Mon,6.76,1,card,18.07,3.3
11,Sat,5.9,1,card,21.62,3.94
8,Mon,0.62,1,card,4.34,0.83
10,Tue,2.52,2,card,7.71,0.84
19,Fri,2.74,1,card,10.82,1.36
8,Sun,1.15,1,card,8.64,1.07
4,Wed,3.16,2,card,9.77,1.42
8,Mon,5.97,3,cash,16.1,0.31
8,Tue,1.65,1,card,4.9,1.17
17,Sun,3.61,1,card,14.79,2.62
15,Sat,1.82,1,card,9.82,1.9
18,Mon,2.08,1,cash,9.38,0.29
17,Wed,6.77,1,card,19.21,2.72
10,Tue,2.23,2,cash,7.69,0.8
19,Tue,3.87,1,card,13.59,1.96
7,Sat,1.07,2,card,9.42,1.43
1,Fri,8.37,1,card,21.29,3.57
5,Tue,4.18,3,card,12.67,2.23
18,Fri,2.72,2,cash,10.33,0.97
12,Wed,4.12,1,cash,12.75,0.22
7,Mon,1.38,1,card,6.49,1.12
13,Thu,5.76,1,cash,16.71,0.34
7,Tue,2.51,3,card,9.38,1.43
17,Tue,2.69,1,card,11.62,2.41
11,Sun,2.29,1,card,10.92,1.38
