date,temp_c,humidity,wind_kmh,precip_mm,condition
2024-01-01,3.4,74.9,9.7,6.2,rain
2024-01-02,2.6,77.7,11.9,1.1,cloudy
2024-01-03,-4.6,96.5,25.1,5.3,rain
2024-01-04,-13.6,100.0,20.1,1.8,cloudy
2024-01-05,3.2,77.6,17.4,7.9,rain
2024-01-06,6.2,80.5,16.3,4.3,cloudy
2024-01-07,6.3,73.1,13.0,1.9,cloudy
2024-01-08,-1.3,83.9,26.0,3.9,cloudy
2024-01-09,1.2,84.3,18.8,1.5,cloudy
2024-01-10,-1.9,78.9,9.5,0.6,cloudy
2024-01-11,5.8,76.2,5.6,7.9,rain
2024-01-12,4.5,66.0,17.4,0.7,sunny
2024-01-13,2.9,72.6,13.7,1.1,cloudy
2024-01-14,2.4,66.5,5.4,2.4,sunny
2024-01-15,5.5,74.0,16.6,3.2,cloudy
2024-01-16,5.0,87.2,12.4,0.2,cloudy
2024-01-17,4.9,75.4,17.2,0.9,cloudy
2024-01-18,18.2,56.8,16.7,0.4,sunny
2024-01-19,1.2,99.4,10.4,6.6,rain
2024-01-20,4.0,80.7,17.8,1.6,cloudy
2024-01-21,4.1,72.3,11.0,6.7,rain
2024-01-22,1.6,77.7,11.4,7.4,rain
2024-01-23,1.2,82.8,10.8,10.5,rain
2024-01-24,5.0,71.6,20.8,2.0,cloudy
2024-01-25,6.3,69.7,12.3,0.3,sunny
2024-01-26,0.3,91.3,22.2,1.9,cloudy
2024-01-27,1.6,89.4,24.7,3.4,cloudy
2024-01-28,3.1,67.8,9.6,0.3,sunny
2024-01-29,3.5,72.9,3.5,0.8,cloudy
2024-01-30,1.0,79.9,20.3,1.8,cloudy
2024-01-31,7.1,76.4,11.9,1.2,cloudy
2024-02-01,3.5,86.7,8.8,3.5,cloudy
2024-02-02,3.8,97.0,10.5,1.4,cloudy
2024-02-03,6.9,69.2,11.5,0.5,sunny
2024-02-04,1.5,79.4,21.8,2.8,cloudy
2024-02-05,2.4,84.7,15.0,1.4,cloudy
2024-02-06,-0.4,81.0,21.7,0.3,cloudy
2024-02-07,2.4,79.8,17.0,6.0,rain
2024-02-08,-0.9,83.6,12.1,0.7,cloudy
2024-02-09,4.8,58.0,11.7,0.0,sunny
2024-02-10,4.1,78.6,17.4,2.6,cloudy
2024-02-11,2.4,79.4,18.9,1.0,cloudy
2024-02-12,2.9,88.7,20.0,0.2,cloudy
2024-02-13,5.1,75.8,12.4,1.8,cloudy
2024-02-14,0.5,75.3,15.1,1.5,cloudy
2024-02-15,3.9,76.1,17.5,14.2,rain
2024-02-16,5.3,60.9,11.7,0.2,sunny
2024-02-17,-0.9,78.1,7.2,3.9,cloudy
2024-02-18,5.4,79.7,9.2,2.9,cloudy
2024-02-19,-0.4,84.0,12.6,6.7,rain
2024-02-20,3.6,85.0,18.0,5.7,rain
2024-02-21,1.1,69.3,21.6,0.1,sunny
2024-02-22,7.7,69.5,5.9,0.4,sunny
2024-02-23,1.3,79.3,10.4,4.1,cloudy
2024-02-24,0.2,91.4,11.9,13.0,rain
2024-02-25,-10.2,100.0,18.8,3.4,cloudy
2024-02-26,3.5,83.2,10.8,6.9,rain
2024-02-27,0.9,94.2,11.4,12.5,rain
2024-02-28,6.1,71.5,5.5,9.7,rain
2024-02-29,-0.1,94.5,16.9,6.3,rain
2024-03-01,2.4,73.3,13.0,5.5,rain
2024-03-02,3.7,70.8,10.1,3.6,cloudy
2024-03-03,7.3,77.2,12.4,3.6,cloudy
2024-03-04,8.6,58.9,20.8,0.3,sunny
2024-03-05,8.3,74.1,8.0,3.1,cloudy
2024-03-06,5.3,76.2,9.0,2.6,cloudy
2024-03-07,-0.3,93.0,21.5,2.5,cloudy
2024-03-08,6.9,72.2,14.5,0.1,cloudy
2024-03-09,9.7,67.9,18.0,1.4,sunny
2024-03-10,9.3,71.9,16.4,4.7,cloudy
2024-03-11,7.5,66.9,13.8,0.1,sunny
2024-03-12,3.5,73.7,11.9,3.1,cloudy
2024-03-13,5.3,78.8,19.0,1.2,cloudy
2024-03-14,11.6,63.9,21.0,0.7,sunny
2024-03-15,3.4,76.1,20.5,0.4,cloudy
2024-03-16,4.2,76.9,6.9,4.7,cloudy
2024-03-17,9.6,78.9,21.8,0.1,cloudy
2024-03-18,6.3,70.6,11.9,0.9,cloudy
2024-03-19,4.6,73.5,9.5,0.8,cloudy
2024-03-20,11.5,52.4,13.0,1.2,sunny
2024-03-21,9.0,68.5,19.0,1.0,sunny
2024-03-22,7.0,76.9,17.2,7.6,rain
